id,url,status_code,latency,extract_method,page_type,content_length
53,https://backoffice.guide/apps/odyssee,200,10.34,Selenium,html,5119
54,https://www.przedszkolebajeczka.com/porady/zabawy-rozwijajace-umiejetnosci-spoleczne-dzieci/,200,5.33,trafilatura,html,4197
55,https://www.canlii.org/en/on/onsc/doc/2014/2014onsc2682/2014onsc2682.html,403,11.53,Selenium,error,497
56,https://www.thecerbatgem.com/2025/01/22/braun-bostich-associates-inc-reduces-stake-in-novartis-ag-nysenvs.html,404,11.82,Selenium,error,288
57,https://datrics.ai,200,1.45,trafilatura,html,4347
58,https://www.testwall.com/keysight-technologies-dsav334a,200,12.88,Selenium,html,1347
59,https://www.ebay.com/itm/126991791185?_skw=First+Rounders+ld&itmmeta=01JPF23K1FNE24FBTTR5MD49VJ&hash=item1d914cf451:g:BsEAAeSwmyBn0yW6&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dmOTswmr0uBhT1eIvDC4P6kIA78KA0N%2BtKZ5VsaiIPbD3nrgHfa0bO8F%2F%2BYnNafS1tdoFwNQJwyQVNaURoE0VdA3E2kwqVs8ojOmHISjP6e4JimS7%2FB0V91M9L7kKpS65epuYSrHJDeVT1AQYyZzj%2BWwtolEE6zukQ2z%2BN4cVbZ7DBC1UzstrOjg6R0KrKeCbFpSUPz4i4c4w9ptzDHUFgbs6tZwcJ1RbkotAhXKSWJQvp9bq7fhEYJtjtifMNxpc%3D%7Ctkp%3ABk9SR5CxjuKzZQ,200,12.46,Selenium,html,2082
60,https://www.amazon.com/Moleskin-Blisters-Adhesive-Military-Tested-Released/dp/B0C8PC2F7C/ref=sr_1_3?dib=eyJ2IjoiMSJ9.lK7zwN9eu-rPS_Gp8v-qxszKlsX3HnTth5KGfRma0ZP0V6h9u_Zj5JNK5nziMkgIuB8_zLPloNgCparE9XiYMEMQa3E4OLDM_-8TxZciZRvmfWvBbagfpfoHV-sZvL3HMIaOuf7ecTkEwFZLpK657_rzE0P1Gx4c5G-LTvZ5lo5ONPicQbPcbotqG-0_ChW1.AwxLiXSxg7rkUenqlxdE4ed6ieWctoph8a5mvPl6gpc&dib_tag=se&qid=1737254919&rdc=1&rnid=3779911&s=hpc-intl-ship&sr=1-3,200,3.67,trafilatura,html,20834
61,http://xn--ruqp9oinnkha258i.com/,200,1.88,trafilatura,html,225
62,https://www.gujaratmetrorail.com/ahmedabad/contact-us,200,5.39,trafilatura,html,264
63,https://www.questmobile.com.cn/research/report/1871401635281997826/,200,3.99,trafilatura,html,1065
64,https://www.jupresear.ch/t/jup-k-a-r-e-lets-test-our-jup-knowledge-and-earn-some-rewards/25404/31,200,2.99,trafilatura,html,5976
65,http://savers.co.uk/blog,200,15.25,Selenium,html,2082
66,https://solutiondots.com/medicalfusion,200,3.29,trafilatura,html,1244
67,https://ioco.tech/partner/cloudera/,200,11.21,trafilatura,html,6037
68,https://www.bardagi.com/en/team/caroline-levesque-2,200,10.82,Selenium,html,1461
69,https://www.qualiaglass.com/product-page/peony-gray-dof-set-of-2,200,1.36,trafilatura,html,50000
70,https://athleta.gap.com/shop/front-closure-bras-0abz07c,200,3.28,trafilatura,html,1322
71,https://yellowheadrec.com/vehicles/8975863-2025-AODES-WORKCROSS%201000-3%20HVAC,200,15.44,Selenium,html,718
72,https://www.rieti.go.jp/users/iwamoto-koichi/serial/165.html,200,3.35,trafilatura,html,17963
73,https://www.nobledesktop.com/learn/digital-marketing/how-to-write-a-winning-value-proposition-for-a-digital-marketing-campaign,200,7.56,trafilatura,html,22581
74,https://www.hispanaweb.com/diseno-y-montaje-de-clusters-de-servidores,200,20.3,Selenium,html,1155
75,https://steamcommunity.com/app/1172710/discussions/0/595146853490648464/,200,1.1,trafilatura,html,673
76,https://www.njcourts.gov/attorneys/opinions/unpublished-appellate?start=2024-10-15&end=2024-10-15,200,1.86,trafilatura,html,619
77,https://www.dhlparcel.nl/nl/particulier/ontvangen/volg-uw-zending?tt=3SMPK16888277&pc=6129HG,200,4.56,trafilatura,html,4911
78,http://kylas.io/features/integrations/integration-go2markets,200,3.08,trafilatura,html,477
79,https://pastificioboulder.com/pages/contact,200,1.38,trafilatura,html,240
80,http://mvw-tech.com/insights,200,10.42,Selenium,html,1622
81,http://tmny.org,200,1.59,trafilatura,html,464
82,https://solutions.moen.com/Article_Library/Kitchen_Handle%3A_Integra_Model_87315_and_67315,200,1.2,trafilatura,html,319
83,https://bluebungalow.com.au/products/simplified-cobalt-crewneck-jumper,200,3.5,trafilatura,html,1234
84,http://amazon.pl/Scitec-Nutrition-100-Protein-Professional/dp/B0BQMMMVLN,200,9.62,trafilatura,html,10350
85,https://www.kdi-inc.com/press-releases/press-release-media-copy-partners-with-kdi-office-technology-to-broaden-digital-solutions-and-improve-customer-experience-in-philadelphia/,200,12.98,Selenium,html,3025
86,https://www.glutenvrijemarkt.com/tags/reiniger/,200,1.09,trafilatura,html,1019
87,https://hightees.com.au/products/freedan-ginger-pic,200,1.93,trafilatura,html,3229
88,https://ccg.ai,403,13.43,Selenium,error,469
89,http://www.temp-mail.org//*,403,10.743733406066895,Selenium,error,0
90,https://faq.zazume.com/hc/es/sections/12747571388316-Pagos,403,9.95,Selenium,error,379
91,https://www.shi.co.jp/english/products/other/security/index.html,200,3.12,trafilatura,html,4602
92,https://forum.cursor.com/t/is-2000-fast-requests-the-maximum/51085,200,1.31,trafilatura,html,760
93,https://www.polylastglobal.com/quote,200,3.13,trafilatura,html,757
94,http://www.leslielanellamas.com/contact.html,404,17.98,Selenium,error,105
95,http://privilee.ae/,200,4.11,trafilatura,html,754
96,https://www.gitpod.io/docs/classic/user/integrations/azure-devops,200,3.74,trafilatura,docs,599
97,https://www.bbc.com/sport/cricket/articles/cj4n9p717nno,200,2.64,trafilatura,html,2593
98,https://open.endole.co.uk/insight/company/07342367-one-environmental-ltd,503,9.1,Selenium,error,100
99,http://salesmessage.com/terms-conditions,200,4.29,trafilatura,html,50000
100,https://hustlehavenmps.com,502,13.927634954452515,Selenium,error,0
101,https://journals.sagepub.com/articles/WHE?ConceptID=145025&ConceptID=143929&ContentItemType=research-article&ContentItemType=case-report&startPage=&ContentItemType=review-article,403,10.68,Selenium,error,335
102,https://hometrustwindows.com,200,9.54,trafilatura,html,8461
103,http://www.kjdb.org/CN/abstract/article/1000-7857/17823,502,23.855668783187866,Selenium,error,0
104,https://www.elliottmfg.com/contact/,200,12.21,Selenium,html,1077
105,https://www.queroabada.com.br/bloco-uau-cha-da-alice,200,4.09,trafilatura,html,741
106,https://www.carsized.com/en/cars/compare/tesla-model-y-2021-suv-vs-zeekr-001-2021-5-door-liftback/,200,14.29,Selenium,html,662
107,https://open.spotify.com/artist/7uMh23xWiuR7zsNkuNcm2G,200,0.56,trafilatura,html,1499
108,https://codezine.jp/article/detail/20349,200,9.46,trafilatura,html,5569
